dkname,dfname,,,,,
Wink,Wink,,,,,Perkz
Cryin,Cryin,,,,,P1noy
rat,rat,,,,,Caps
Lwx,Lwx,,,,,Rekkles
Doinb,Doinb,,,,,Abbedagge
April,April,,,,,Upset
Jinjiao,jinjiao,,,,,Jankos
FoFo,FoFo,,,,,Innaxe
Wings,Wings,,,,,Nukeduck
WEI,Wei,,,,,Wunder
Loken,LokeN,,,,,FORG1VEN
Tian,Tian,,,,,Kamito
xiye,xiye,,,,,Odoamne
Gala,GALA,,,,,Xerxe
mingjing,mingjing,,,,,Larssen
Xiaowei,Xiaowei,,,,,Hans sama
Yagao,Yagao,,,,,Comp
Kanavi,Kanavi,,,,,Alphari
Khan,Khan,,,,,Nemesis
Meteor,Meteor,,,,,SelfMade
XiaoBai,Xiaobai,,,,,Gilius
GimGoon,GimGoon,,,,,Bwipo
Xiao7,Xiao7,,,,,Carzzy
Asura,Asura,,,,,Milica
CJJ,CJJ,,,,,Lurox
Maple,Maple,,,,,Mikyx
Light,Light,,,,,Finn
ADD,ADD,,,,,Special
Xiaopeng,Xiaopeng,,,,,Inspired
Kingen,Kingen,,,,,Patrik
Natural,Natural,,,,,Cabochard
bless,Bless,,,,,Nji
melody,melody,,,,,Swiffer
Crisp,Crisp,,,,,Humanoid
Xx,Xx,,,,,Mowgli
FunPlus Phoenix,Funplus Phoenix,,,,,Origen
705,705,,,,,Kobbe
ShiauC,ShiauC,,,,,Shad0w
Zoom,Zoom,,,,,Destiny
Alu,Alu,,,,,Crownshot
eStar,eStar,,,,,Kryze
Bilibili Gaming,Bilibili Gaming,,,,,Febiven
Flandre,Flandre,,,,,Perkz
XinMo,XinMo,,,,,P1noy
Moonlight,Moonlight,,,,,Orome
Dominus Esports,Dominus Esports,,,,,G2 Esports
LvMao,LvMao,,,,,ZaZee
Peace,Peace,,,,,Ronaldo
JD Gaming,JD Gaming,,,,,Caps
Mark,Mark,,,,,Rekkles
LNG Esports,LNG Esports,,,,,Caedrel
Duan,Duan,,,,,Dan Dan
lwandy,lwandy,,,,,Hylissang
Xiaohu,xiaohu,,,,,Fnatic
Betty,Betty,,,,,Abbedagge
Uzi,Uzi,,,,,Upset
Rookie,RooKie,,,,,Jankos
Puff,Puff,,,,,Vander
Teddy,Teddy,,,,,Rogue
Scout,Scout,,,,,Razork
Faker,Faker,,,,,Innaxe
Gori,Gori,,,,,Nukeduck
Cuzz,Cuzz,,,,,FC Schalke 04
Mystic,Mystic,,,,,Jenax
LangX,Langx,,,,,Wunder
XLB,XLB,,,,,FORG1VEN
All iN,ALL IN,,,,,Kamito
Viper,Viper,,,,,Odoamne
SS,SS,,,,,Xerxe
JunJia,JunJia,,,,,Larssen
TheShy,TheShy,,,,,Hans sama
Canna,Canna,,,,,Dreams
Fly,Fly,,,,,NukesAlot
Kramer,Kramer,,,,,Trick
JieJie,Jiejie,,,,,Comp
Leyan,Leyan,,,,,Alphari
Roach,Roach,,,,,Nemesis
Ning,Ning,,,,,SelfMade
Ucal,Ucal,,,,,Jactroll
Jinoo,Jinoo,,,,,Team Vitality
xiaoxiang,xiaoxiang,,,,,Gilius
Kiin,Kiin,,,,,Bwipo
NaeHyun,Naehyun,,,,,Carzzy
Yuuki,Yuuki,,,,,Milica
Peanut,Peanut,,,,,Lurox
Route,Route,,,,,Kaiser
T1,T1,,,,,Labrov
Dread,Dread,,,,,Excel Esports
Ming,Ming,,,,,Mikyx
fenfen,fenfen,,,,,Finn
Dove,Dove,,,,,Special
Leo,Leo,,,,,Inspired
Tarzan,Tarzan,,,,,Patrik
Spirit,Spirit,,,,,denyk
Royal Never Give Up,Royal Never Give Up,,,,,Misfits
Southwind,Southwind,,,,,Cabochard
FATE,FATE,,,,,Nji
Baolan,Baolan,,,,,Swiffer
Summit,Summit,,,,,Humanoid
Effort,Effort,,,,,Mowgli
Punch,Punch,,,,,Origen
EDward Gaming,Edward Gaming,,,,,Kobbe
Lonely,Lonely,,,,,MAD Lions
OnFleek,OnFleek,,,,,Tore
Cult,Cult,,,,,Doss
Meiko,meiko,,,,,Shad0w
Invictus Gaming,Invictus Gaming,,,,,Destiny
Afreeca Freecs,Afreeca Freecs,,,,,Crownshot
Lies,Lies,,,,,Kryze
Jelly,Jelly,,,,,Febiven
Griffin,Griffin,,,,,Orome
Sword,Sword,,,,,G2 Esports
Ben,Ben,,,,,ZaZee
Killua,killua,,,,,Ronaldo
Chance,Chance,,,,,Caedrel
SANDBOX Gaming,Sandbox Gaming,,,,,Dan Dan
Irove,Irove,,,,,Hylissang
GorillA,Gorilla,,,,,Fnatic
LGD Gaming,LGD Gaming,,,,,LIMIT
Joker,Joker,,,,,SK Gaming
T1,SK Telecom T1,,,,,Vander
Gumayushi,Gumayushi,,,,,Rogue
Jiumeng,Jiumeng,,,,,Razork
Teacherma,Teacherma,,,,,Bertho
Deft,Deft,,,,,FC Schalke 04
Plex,Plex,,,,,Jenax
yimeng,yimeng,,,,,Dreams
Chovy,Chovy,,,,,NukesAlot
Quad,Quad,,,,,Trick
Ellim,Ellim,,,,,Jactroll
beishang,beishang,,,,,Team Vitality
Pyosik,Pyosik,,,,,Kaiser
Morgan,Morgan,,,,,Labrov
Doran,Doran,,,,,Excel Esports
Poss,Poss,,,,,denyk
Kuri,Kuri,,,,,Misfits
Missing,Missing,,,,,MAD Lions
Keria,Keria,,,,,Tore
DragonX,DragonX,,,,,Doss
Team WE,Team WE,,,,,LIMIT
JackeyLove,JackeyLove,,,,,SK Gaming
Knight,knight,,,,,Bertho
Photic,Photic,,,,,
Hope,Hope,,,,,
Karsa,Karsa,,,,,
AKi,aki,,,,,
Xinyi,Xinyi,,,,,
369,369,,,,,
S1xu,S1xu,,,,,
Moyu,Moyu,,,,,
Aodi,Aodi,,,,,
yuekai,yuekai,,,,,
yuyanjia,yuyanjia,,,,,
QiuQiu,Qiuqiu,,,,,
Top Esports,Top Esports,,,,,
Perkz,Perkz,,,,,
P1noy,P1noy,,,,,
Caps,Caps,,,,,
Rekkles,Rekkles,,,,,
Abbedagge,Abbedagge,,,,,
Upset,Upset,,,,,
Jankos,Jankos,,,,,
Innaxe,Innaxe,,,,,
Nukeduck,Nukeduck,,,,,
Wunder,Wunder,,,,,
FORG1VEN,FORG1VEN,,,,,
Kamito,Kamito,,,,,
Odoamne,Odoamne,,,,,
Xerxe,Xerxe,,,,,
Larssen,Larssen,,,,,
Hans sama,Hans Sama,,,,,
Comp,Comp,,,,,
Alphari,Alphari,,,,,
Nemesis,Nemesis,,,,,
SelfMade,Selfmade,,,,,
Gilius,Gilius,,,,,
Bwipo,Bwipo,,,,,
Carzzy,Carzzy,,,,,
Milica,Milica,,,,,
Lurox,Lurox,,,,,
Mikyx,Mikyx,,,,,
Finn,Finn,,,,,
Special,Special,,,,,
Inspired,Inspired,,,,,
Patrik,Patrik,,,,,
Cabochard,Cabochard,,,,,
Nji,Nji,,,,,
Swiffer,Swiffer,,,,,
Humanoid,Humanoid,,,,,
Mowgli,Mowgli,,,,,
Origen,Origen,,,,,
Kobbe,Kobbe,,,,,
Shad0w,Shad0w,,,,,
Destiny,Destiny,,,,,
Crownshot,Crownshot,,,,,
Kryze,Kryze,,,,,
Febiven,Febiven,,,,,
Orome,Orome,,,,,
G2 Esports,G2 Esports,,,,,
ZaZee,ZaZee,,,,,
Ronaldo,Ronaldo,,,,,
Caedrel,Caedrel,,,,,
Dan Dan,Dan Dan,,,,,
Hylissang,Hylissang,,,,,
Fnatic,Fnatic,,,,,
Vander,Vander,,,,,
Rogue,Rogue,,,,,
Razork,Razork,,,,,
FC Schalke 04,FC Schalke 04 esports,,,,,
Jenax,Jenax,,,,,
Dreams,Dreams,,,,,
NukesAlot,NukesAlot,,,,,
Trick,Trick,,,,,
Jactroll,Jactroll,,,,,
Team Vitality,Team Vitality,,,,,
Kaiser,Kaiser,,,,,
Labrov,Labrov,,,,,
Excel Esports,Excel Esports,,,,,
denyk,denyk,,,,,
Misfits,Misfits Gaming,,,,,
MAD Lions,MAD Lions,,,,,
Tore,Tore,,,,,
Doss,Doss,,,,,
LIMIT,LIMIT,,,,,
SK Gaming,SK Gaming,,,,,
Bertho,Bertho,,,,,